GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,ntnu.fullstacksuperteam.backend.service,ScoresService,5,43,0,0,1,9,1,4,1,4
backend,ntnu.fullstacksuperteam.backend.service,TokenService,0,55,0,0,0,17,0,4,0,4
backend,ntnu.fullstacksuperteam.backend.service,QuizService,201,242,26,14,41,52,19,12,2,9
backend,ntnu.fullstacksuperteam.backend.service,QuestionService,249,184,27,7,51,40,18,7,2,6
backend,ntnu.fullstacksuperteam.backend.service,FeedbackService,0,23,0,0,0,7,0,2,0,2
backend,ntnu.fullstacksuperteam.backend.service,AuthService,117,3,12,0,17,1,8,1,2,1
backend,ntnu.fullstacksuperteam.backend.service,UserService,70,22,6,2,13,5,4,3,1,2
backend,ntnu.fullstacksuperteam.backend.model,TextAnswer,0,50,0,0,0,14,0,6,0,6
backend,ntnu.fullstacksuperteam.backend.model,Question,0,79,0,0,0,28,0,14,0,14
backend,ntnu.fullstacksuperteam.backend.model,TrueOrFalseQuestion,9,21,0,0,3,8,1,4,1,4
backend,ntnu.fullstacksuperteam.backend.model,Feedback,3,33,0,0,1,11,1,8,1,8
backend,ntnu.fullstacksuperteam.backend.model,SlideQuestion,4,10,0,0,2,4,1,3,1,3
backend,ntnu.fullstacksuperteam.backend.model,TrueOrFalseAnswer,0,17,0,0,0,7,0,5,0,5
backend,ntnu.fullstacksuperteam.backend.model,Quiz,6,67,0,0,2,29,2,19,2,19
backend,ntnu.fullstacksuperteam.backend.model,Token,0,9,0,0,0,4,0,2,0,2
backend,ntnu.fullstacksuperteam.backend.model,User,6,64,0,0,2,23,2,16,2,16
backend,ntnu.fullstacksuperteam.backend.model,Score,0,30,0,0,0,12,0,9,0,9
backend,ntnu.fullstacksuperteam.backend.model,SlideAnswer,0,31,0,0,0,13,0,9,0,9
backend,ntnu.fullstacksuperteam.backend.model,DifficultyLevel,14,21,4,0,5,4,4,1,1,1
backend,ntnu.fullstacksuperteam.backend.model,Answer,0,17,0,0,0,7,0,5,0,5
backend,ntnu.fullstacksuperteam.backend.model,Category,0,59,0,6,0,14,0,7,0,2
backend,ntnu.fullstacksuperteam.backend.model,TextQuestion,0,30,0,0,0,11,0,5,0,5
backend,ntnu.fullstacksuperteam.backend.model,Tag,16,0,0,0,7,0,4,0,4,0
backend,ntnu.fullstacksuperteam.backend.dto,TrueOrFalseQuestionDTO,0,24,0,2,0,7,0,5,0,4
backend,ntnu.fullstacksuperteam.backend.dto,TrueOrFalseAnswerDTO,0,24,0,0,0,10,0,7,0,7
backend,ntnu.fullstacksuperteam.backend.dto,QuizDTO,0,45,0,0,0,19,0,13,0,13
backend,ntnu.fullstacksuperteam.backend.dto,SlideAnswerDTO,0,93,0,0,0,27,0,12,0,12
backend,ntnu.fullstacksuperteam.backend.dto,ErrorResponse,0,9,0,0,0,4,0,2,0,2
backend,ntnu.fullstacksuperteam.backend.dto,RegisterDTO,33,0,0,0,12,0,6,0,6,0
backend,ntnu.fullstacksuperteam.backend.dto,TextAnswerDTO,0,30,0,0,0,11,0,8,0,8
backend,ntnu.fullstacksuperteam.backend.dto,UserDTO,0,50,0,0,0,17,0,12,0,12
backend,ntnu.fullstacksuperteam.backend.dto,SubmittedAnswerDTO,0,21,0,0,0,8,0,4,0,4
backend,ntnu.fullstacksuperteam.backend.dto,SlideQuestionDTO,0,15,0,0,0,5,0,4,0,4
backend,ntnu.fullstacksuperteam.backend.dto,SubmitAnswerDTO,0,10,0,0,0,4,0,3,0,3
backend,ntnu.fullstacksuperteam.backend.dto,QuestionDTO,0,38,0,0,0,16,0,11,0,11
backend,ntnu.fullstacksuperteam.backend.dto,LoginDTO,21,0,0,0,7,0,4,0,4,0
backend,ntnu.fullstacksuperteam.backend.dto,TextQuestionDTO,0,15,0,0,0,5,0,4,0,4
backend,ntnu.fullstacksuperteam.backend.controller,ScoresController,33,68,0,0,9,13,0,4,0,4
backend,ntnu.fullstacksuperteam.backend.controller,AuthController,64,7,0,0,12,2,2,1,2,1
backend,ntnu.fullstacksuperteam.backend.controller,UserController,32,36,0,0,6,8,1,2,1,2
backend,ntnu.fullstacksuperteam.backend.controller,QuizController,84,92,0,0,19,15,3,7,3,7
backend,ntnu.fullstacksuperteam.backend.controller,FeedbackController,0,20,0,0,0,6,0,2,0,2
backend,ntnu.fullstacksuperteam.backend.controller,QuestionController,20,31,0,0,4,6,1,3,1,3
backend,ntnu.fullstacksuperteam.backend.security,JWTAuthorizationFilter,54,10,6,0,15,4,4,1,1,1
backend,ntnu.fullstacksuperteam.backend.security,SecurityConfig,57,73,0,0,5,12,1,7,1,7
backend,ntnu.fullstacksuperteam.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
